time,x0y0,x1y0,x2y0,x3y0,x4y0,x5y0,x0y1,x1y1,x2y1,x3y1,x4y1,x5y1,x0y2,x1y2,x2y2,x3y2,x4y2,x5y2,x0y3,x1y3,x2y3,x3y3,x4y3,x5y3
3.832,27,2,0,80,15,2,11,5,0,83,16,2,4,6,0,80,16,2,69,8,14,83,23,6
3.851,26,2,0,81,15,2,10,5,0,82,15,2,4,6,0,80,16,2,69,8,14,83,23,6
3.866,26,2,0,81,15,2,10,5,0,81,15,2,4,6,0,81,16,2,70,8,14,82,23,6
3.884,25,2,0,81,15,2,10,5,0,80,15,2,4,6,0,81,16,2,69,8,14,81,22,5
3.9,25,2,0,81,15,2,10,5,0,80,15,2,4,6,0,82,16,2,69,8,14,81,22,5
3.915,25,3,0,82,15,2,10,5,0,79,15,2,4,6,0,82,16,2,69,8,14,80,22,5
3.934,25,3,0,82,15,2,10,5,0,79,15,2,4,6,0,83,16,2,69,8,14,80,22,5
3.95,26,4,0,82,16,2,10,5,0,80,15,2,4,6,0,83,16,2,69,8,14,80,22,5
3.967,26,5,0,82,15,2,10,5,0,80,15,2,4,6,0,82,16,2,69,8,14,81,22,5
3.982,26,5,0,82,15,2,10,5,0,81,15,2,4,6,0,82,16,2,69,8,14,81,22,5
4.0,26,5,0,82,15,2,10,5,0,81,15,2,4,6,0,81,16,2,69,9,14,82,22,5
4.016,27,6,0,81,15,2,10,6,0,82,16,2,4,6,0,80,16,2,69,9,14,83,22,5
4.034,27,6,0,80,15,2,10,6,0,82,16,2,4,6,0,80,16,2,69,9,14,84,23,5
4.055,27,6,0,80,15,2,10,6,0,83,16,2,4,6,0,79,16,2,69,9,14,84,23,5
4.073,27,6,0,80,15,2,10,5,0,82,15,2,4,6,0,79,16,2,69,8,14,83,23,6
4.091,27,6,0,80,15,2,10,5,0,82,15,2,4,6,0,80,16,2,69,8,14,83,23,6
4.108,27,6,0,81,15,2,10,5,0,81,15,2,5,6,0,80,16,2,69,8,14,82,23,6
4.125,27,6,0,82,15,2,10,5,0,80,15,2,5,7,0,81,16,2,69,8,14,81,22,5
4.141,27,6,0,83,15,2,10,5,0,79,15,2,5,7,0,81,16,2,69,8,14,81,22,5
4.157,27,6,0,83,15,2,10,5,0,79,15,2,5,7,0,82,16,2,69,8,14,80,22,5
4.173,27,5,0,83,15,2,10,5,0,79,15,2,5,7,0,83,16,2,69,8,14,80,22,5
